epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.82377,3.33237,4.09449,1.93792,0.00462,0.52381,0.00261,0.00051,2.49566,3.72889,1.42638,6e-05,6e-05,6e-05
2,3.56239,2.71381,3.77482,1.59374,0.00625,0.71429,0.0056,0.00106,2.3428,3.57428,1.26091,0.000137228,0.000137228,0.000137228
3,5.24508,2.56038,3.55335,1.47198,0.00628,0.71429,0.00871,0.00239,2.21049,3.55112,1.2651,0.000211288,0.000211288,0.000211288
4,6.94612,2.50202,3.3878,1.35546,0.00701,0.7619,0.02214,0.00576,2.20335,3.55673,1.29409,0.00028218,0.00028218,0.00028218
5,8.61775,2.36601,3.00707,1.34663,0.00686,0.71429,0.02168,0.0069,2.11985,3.5328,1.23751,0.000349904,0.000349904,0.000349904
6,10.2824,2.34893,2.64008,1.34883,0.00846,0.85714,0.07709,0.01849,2.03147,3.50175,1.17681,0.00041446,0.00041446,0.00041446
7,12.0173,2.31488,2.4452,1.2948,0.00891,0.85714,0.02529,0.00836,1.94163,3.46635,1.17991,0.000475848,0.000475848,0.000475848
8,13.7779,2.33602,2.25779,1.29015,0.00942,0.90476,0.02744,0.00955,1.85057,3.42138,1.1922,0.000534068,0.000534068,0.000534068
9,15.4031,2.27132,2.15839,1.39591,0.00964,0.95238,0.03493,0.01081,1.8701,3.39417,1.29128,0.00058912,0.00058912,0.00058912
10,17.028,2.33641,1.97386,1.37643,0.00949,0.95238,0.04413,0.01438,1.87714,3.36519,1.31497,0.000641004,0.000641004,0.000641004
11,18.6602,2.3115,1.94933,1.32447,0.00966,1,0.03886,0.00948,1.95232,3.30286,1.3132,0.00068972,0.00068972,0.00068972
12,20.2875,2.18376,1.83693,1.32437,0.00894,0.95238,0.0211,0.00631,2.05769,3.25851,1.34625,0.000735268,0.000735268,0.000735268
13,21.9568,2.39591,1.95799,1.35425,0.00815,0.90476,0.05773,0.01367,2.06995,3.21405,1.34923,0.000777648,0.000777648,0.000777648
14,23.5852,2.29232,1.75777,1.29407,0.00837,0.95238,0.09382,0.02829,2.0571,3.13318,1.34338,0.00081686,0.00081686,0.00081686
15,25.2118,2.10874,1.68919,1.31698,0.00875,1,0.11666,0.03871,1.95716,2.98495,1.32449,0.000852904,0.000852904,0.000852904
16,26.833,2.20323,1.71316,1.27121,0.00875,1,0.11666,0.03871,1.95716,2.98495,1.32449,0.00088578,0.00088578,0.00088578
17,28.4709,2.08263,1.59416,1.28394,0.00875,1,0.20896,0.06547,2.14439,2.85571,1.41766,0.000915488,0.000915488,0.000915488
18,30.0896,2.15334,1.6638,1.23663,0.00875,1,0.34915,0.13589,2.20175,2.75006,1.44631,0.000942028,0.000942028,0.000942028
19,31.6968,2.1152,1.66253,1.39214,0.00875,1,0.34915,0.13589,2.20175,2.75006,1.44631,0.0009654,0.0009654,0.0009654
20,33.3303,2.12298,1.74965,1.31425,0.03714,0.57143,0.34946,0.1059,2.1078,2.77224,1.38948,0.000985604,0.000985604,0.000985604
21,34.9698,2.043,1.53133,1.30655,1,0.08974,0.3165,0.12384,2.02729,2.66945,1.37258,0.00100264,0.00100264,0.00100264
22,36.5952,2.14603,1.70871,1.36577,1,0.08974,0.3165,0.12384,2.02729,2.66945,1.37258,0.00101651,0.00101651,0.00101651
23,38.2193,2.044,1.56375,1.26132,0.75018,0.09524,0.47646,0.18046,2.05018,2.46425,1.38439,0.00102721,0.00102721,0.00102721
24,39.8238,2.13004,1.54856,1.29462,0.75018,0.09524,0.47646,0.18046,2.05018,2.46425,1.38439,0.00103474,0.00103474,0.00103474
25,41.4602,2.03758,1.58147,1.22903,0.69699,0.38095,0.55202,0.20904,2.15462,2.20469,1.3727,0.0010391,0.0010391,0.0010391
26,43.059,1.9648,1.53441,1.32976,0.69699,0.38095,0.55202,0.20904,2.15462,2.20469,1.3727,0.00101,0.00101,0.00101
27,44.7427,2.07898,1.51439,1.36,0.53454,0.43791,0.54982,0.25138,2.09736,1.93896,1.35718,0.0009704,0.0009704,0.0009704
28,46.3686,1.92527,1.40497,1.25176,0.53454,0.43791,0.54982,0.25138,2.09736,1.93896,1.35718,0.0009308,0.0009308,0.0009308
29,48.0295,2.1263,1.55881,1.29305,0.47411,0.57143,0.54785,0.25266,2.03053,1.70833,1.33889,0.0008912,0.0008912,0.0008912
30,49.6874,2.02288,1.54343,1.25732,0.47411,0.57143,0.54785,0.25266,2.03053,1.70833,1.33889,0.0008516,0.0008516,0.0008516
31,51.3593,1.93676,1.47922,1.25334,0.45261,0.71429,0.55249,0.24,2.03971,1.67607,1.33814,0.000812,0.000812,0.000812
32,52.9828,1.92395,1.43152,1.26925,0.45261,0.71429,0.55249,0.24,2.03971,1.67607,1.33814,0.0007724,0.0007724,0.0007724
33,54.6299,1.92851,1.56935,1.2646,0.56625,0.57143,0.58582,0.21476,2.16423,1.70699,1.41943,0.0007328,0.0007328,0.0007328
34,56.2491,1.97718,1.45546,1.24346,0.56625,0.57143,0.58582,0.21476,2.16423,1.70699,1.41943,0.0006932,0.0006932,0.0006932
35,57.8872,1.89929,1.45845,1.25035,0.62057,0.57143,0.64539,0.24438,2.17618,1.69656,1.39409,0.0006536,0.0006536,0.0006536
36,59.4885,1.87468,1.44106,1.24406,0.62057,0.57143,0.64539,0.24438,2.17618,1.69656,1.39409,0.000614,0.000614,0.000614
37,61.1088,1.77181,1.39317,1.21926,0.53115,0.71429,0.64738,0.24741,2.17734,1.60614,1.38042,0.0005744,0.0005744,0.0005744
38,62.7073,1.71584,1.30376,1.18693,0.53115,0.71429,0.64738,0.24741,2.17734,1.60614,1.38042,0.0005348,0.0005348,0.0005348
39,64.3207,1.83347,1.33863,1.19403,0.49873,0.71429,0.63482,0.26968,2.18331,1.55503,1.36807,0.0004952,0.0004952,0.0004952
40,65.9197,1.83568,1.47857,1.18876,0.49873,0.71429,0.63482,0.26968,2.18331,1.55503,1.36807,0.0004556,0.0004556,0.0004556
41,67.5724,1.91333,1.66752,1.2944,0.57035,0.56903,0.64207,0.26691,2.175,1.52166,1.41143,0.000416,0.000416,0.000416
42,69.1796,1.76036,1.60118,1.27161,0.57035,0.56903,0.64207,0.26691,2.175,1.52166,1.41143,0.0003764,0.0003764,0.0003764
43,70.7892,1.79803,1.6543,1.247,0.48108,0.85714,0.68383,0.26337,2.12563,1.48456,1.40973,0.0003368,0.0003368,0.0003368
44,72.3727,1.73844,1.52678,1.17691,0.48108,0.85714,0.68383,0.26337,2.12563,1.48456,1.40973,0.0002972,0.0002972,0.0002972
45,73.9745,1.88694,1.63594,1.19219,0.53206,0.70416,0.6955,0.29454,2.07046,1.481,1.39288,0.0002576,0.0002576,0.0002576
