epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.59975,1.49942,3.50269,1.30491,0.00749,1,0.25261,0.19717,1.28523,3.36642,1.03243,8.335e-05,8.335e-05,8.335e-05
2,5.08396,1.33039,3.21239,1.13187,0.00741,1,0.42955,0.36846,1.15379,3.27358,0.95505,0.000179739,0.000179739,0.000179739
3,7.53625,1.32571,3.02207,1.09434,0.0075,1,0.41356,0.32504,1.13209,3.21843,0.93333,0.000272168,0.000272168,0.000272168
4,10.0061,1.30211,2.65962,1.05686,0.00748,1,0.39322,0.32563,1.0653,3.21503,0.92653,0.000360635,0.000360635,0.000360635
5,12.4668,1.28915,2.39141,1.0657,0.0074,1,0.50671,0.43539,1.11129,3.14594,0.97216,0.000445142,0.000445142,0.000445142
6,15.0549,1.28479,2.1905,1.06713,0.0073,1,0.69778,0.55688,1.14395,2.90505,0.96623,0.000525688,0.000525688,0.000525688
7,17.5305,1.33193,1.8467,1.05584,0.63279,0.75806,0.72878,0.57695,1.176,2.71794,1.00171,0.000602274,0.000602274,0.000602274
8,20.0326,1.36189,1.69513,1.08077,0.63145,0.54839,0.72916,0.57673,1.16557,2.66106,0.99183,0.000674898,0.000674898,0.000674898
9,22.433,1.29604,1.5756,1.08944,0.37715,0.33333,0.7294,0.54938,1.22757,2.66444,1.0047,0.000743562,0.000743562,0.000743562
10,24.8889,1.32679,1.55237,1.09781,0.679,0.51279,0.73205,0.54328,1.2481,2.8603,1.07235,0.000808265,0.000808265,0.000808265
11,27.3148,1.25879,1.45846,1.07517,0.84437,0.5447,0.72055,0.52665,1.24052,2.84643,1.08524,0.000869007,0.000869007,0.000869007
12,29.7768,1.27457,1.52191,1.09037,0.92973,0.55411,0.7654,0.54625,1.21369,2.6086,1.03895,0.000925788,0.000925788,0.000925788
13,32.3884,1.21167,1.35018,1.05973,0.79112,0.64146,0.79426,0.61486,1.15194,2.29522,1.00815,0.000978609,0.000978609,0.000978609
14,35.1318,1.14645,1.37829,1.05674,0.77938,0.80645,0.81357,0.6626,1.20711,2.10524,1.01261,0.00102747,0.00102747,0.00102747
15,37.553,1.2327,1.34291,1.04468,0.77938,0.80645,0.81357,0.6626,1.20711,2.10524,1.01261,0.00107237,0.00107237,0.00107237
16,40.1435,1.30325,1.35251,1.11132,0.77364,0.74194,0.79907,0.60452,1.25537,1.89561,1.0465,0.00111331,0.00111331,0.00111331
17,42.5962,1.23206,1.29831,1.06638,0.64269,0.80645,0.79564,0.56675,1.27763,1.6887,1.06942,0.00113889,0.00113889,0.00113889
18,45.0984,1.24197,1.40215,1.06164,0.50483,0.88796,0.76842,0.53127,1.25195,1.59559,1.07291,0.00110589,0.00110589,0.00110589
19,47.5499,1.21155,1.34898,1.0686,0.50483,0.88796,0.76842,0.53127,1.25195,1.59559,1.07291,0.00107288,0.00107288,0.00107288
20,50.0089,1.16961,1.24042,1.01837,0.60143,0.79803,0.73256,0.51066,1.21849,1.56844,1.04539,0.00103987,0.00103987,0.00103987
21,52.4544,1.2075,1.34605,1.09444,0.60878,0.87097,0.74492,0.56876,1.14666,1.46085,1.01693,0.00100687,0.00100687,0.00100687
22,54.9569,1.14253,1.27782,1.07188,0.61537,0.87325,0.71615,0.54434,1.15591,1.45443,1.01232,0.000973861,0.000973861,0.000973861
23,57.3567,1.1305,1.23515,1.02585,0.61537,0.87325,0.71615,0.54434,1.15591,1.45443,1.01232,0.000940855,0.000940855,0.000940855
